rest_close_eye_start,rest_close_eye_start_lsl,rest_close_eye_end,rest_close_eye_end_lsl,rest_open_eye_start,rest_open_eye_start_lsl,rest_open_eye_end,rest_open_eye_end_lsl,event,rating_label,kss_rating,time_sec,lsl_timestamp,stress,frustration,phase,trial,tick_soa_s,is_target_double_jump,responded,rt,n_positions,position_phase,correct,hit,false_alarm,miss,participant,calibration_min,formal_min,ratings_every_min,mack_positions,mack_initial_SOA,mack_target_prob
,,,,,,,,,,,91,147289.3435142,,,Mackworth_Calibration,107,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,92,147289.9850832,,,Mackworth_Calibration,108,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,92,147290.6718354,,,Mackworth_Calibration,109,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,93,147291.3390256,,,Mackworth_Calibration,110,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,94,147291.9986233,,,Mackworth_Calibration,111,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,94,147292.6489421,,,Mackworth_Calibration,112,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,95,147293.2830682,,,Mackworth_Calibration,113,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,96,147293.9488272,,,Mackworth_Calibration,114,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,96,147294.5991451,,,Mackworth_Calibration,115,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,97,147295.2563173,,,Mackworth_Calibration,116,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,98,147295.9019274,,,Mackworth_Calibration,117,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,98,147296.5428868,,,Mackworth_Calibration,118,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,99,147297.1760645,,,Mackworth_Calibration,119,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
